AnchorID,T1,T4,T5,MessageSize,PointCount
B400007754C8BA10-600613A12A17C812,-1,1758566196720,1758566196738,-1,-1
B4000077558A6550-600613A12A17C812,-1,1758566198864,1758566198876,-1,-1
B4000077558BF6F0-600613A12A17C812,-1,1758566200198,1758566200209,-1,-1
B4000077558B34B0-600613A12A17C812,-1,1758566201742,1758566201753,-1,-1
B4000077558AD8D0-600613A12A17C812,-1,1758566203375,1758566203386,-1,-1
B4000077558AE0B0-600613A12A17C812,-1,1758566204598,1758566204609,-1,-1
B4000077558ABB10-600613A12A17C812,-1,1758566205920,1758566205931,-1,-1
B4000077558BDCB0-600613A12A17C812,-1,1758566210643,1758566210654,-1,-1
B4000077558B3F30-600613A12A17C812,-1,1758566212898,1758566212910,-1,-1
B400007754C92930-600613A12A17C812,-1,1758566214231,1758566214242,-1,-1
B4000077558A4DB0-600613A12A17C812,-1,1758566215964,1758566215976,-1,-1
B4000077558C05D0-600613A12A17C812,-1,1758566217809,1758566217820,-1,-1
B4000077558AF850-600613A12A17C812,-1,1758566222109,1758566222120,-1,-1
B4000077558BD930-600613A12A17C812,-1,1758566225898,1758566225909,-1,-1
B4000077558A8E70-600613A12A17C812,-1,1758566231344,1758566231354,-1,-1
B4000077558A3B50-600613A12A17C812,-1,1758566234910,1758566234920,-1,-1
B4000077558A7970-600613A12A17C812,-1,1758566237965,1758566237977,-1,-1
B4000077558BF610-600613A12A17C812,-1,1758566240855,1758566240865,-1,-1
